Date,Highest Impact,Title,Display Authors,Area,Additional Metadata,Conference or Journal,Workshop,Superlative,Paper Link,Project Link,All Authors,EAI Affils
"Aug 29, 2023",,Reclaiming the Digital Commons: A Public Data Trust for Training Data,"Chan, Bradley, and Rajkumar","Data, AI Governance & Societal Impacts",,AIES,,,https://arxiv.org/abs/2303.09001,,Alan Chan; Herbie Bradley; Nitarshan Rajkumar,Herbie Bradley
"Sep 23, 2023",,Towards Meta-Models for Automated Interpretability,"Langosco, Alex, Baker, Quarel, Bradley, and Krueger",Model Internals,,ICLR 2024 submission,,,https://openreview.net/forum?id=fM1ETm3ssl,,Lauro Langosco; Neel Alex; William Baker; David John Quarel; Herbie Bradley; David Krueger,Herbie Bradley
"Oct 2, 2023",,Representation Engineering: A Top-Down Approach to AI Transparency,"Zou, Phan, Chen, Campbell, Guo, Ren, and 15 others","Model Internals, Behavioral Safety",,,,,https://arxiv.org/abs/2310.01405,,Andy Zou; Long Phan; Sarah Chen; James Campbell; Phillip Guo; Richard Ren; Alexander Pan; Xuwang Yin; Mantas Mazeika; Ann-Kathrin Dombrowski; Shashwat Goel; Nathaniel Li; Michael J. Byun; Zifan Wang; Alex Mallen; Steven Basart; Sanmi Koyejo; Dawn Song; Matt Fredrikson; J. Zico Kolter; Dan Hendrycks,Alex Mallen
"Nov 1, 2023",,Utilizing Weak Supervision to Generate Indonesian Conservation Datasets,"Fransiska, Pitaloka, Saripudin, Putra, and Sutawika","Data, AI4Science, Multilingual",,,AACL Workshop on Southeast Asian Language Processing,,https://arxiv.org/abs/2310.11258,,Mega Fransiska; Diah Pitaloka; Saripudin; Satrio Putra; Lintang Sutawika,Lintang Sutawika
"Nov 1, 2023",,Current Status of NLP in South East Asia with Insights from Multilingualism and Language Diversity,"Aji, Forde, Loo, Sutawika, Wang, and 6 others","AI Governance & Societal Impacts, Multilingual",,IJCNLP-AACL 2023 Tutorial Abstracts,IJCNLP-AACL 2023 Tutorial,,https://aclanthology.org/2023.ijcnlp-tutorials.2/,,Alham Fikri Aji; Jessica Zosa Forde; Alyssa Marie Loo; Lintang Sutawika; Skyler Wang; Genta Indra Winata; Zheng Xin Yong; Ruochen Zhang; A. Seza Doğruöz; Yin Lin Tan; Jan Christian Blaise Cruz,Lintang Sutawika
"Dec 1, 2023",,StarCoder: may the source be with you!,"von Werra, de Vries, and 65 others","Training Models, Data",,TMLR,,,https://arxiv.org/abs/2305.06161,,Raymond Li; Loubna Ben Allal; Yangtian Zi; Niklas Muennighoff; Denis Kocetkov; Chenghao Mou; Marc Marone; Christopher Akiki; Jia Li; Jenny Chim; Qian Liu; Evgenii Zheltonozhskii; Terry Yue Zhuo; Thomas Wang; Olivier Dehaene; Mishig Davaadorj; Joel Lamy-Poirier; João Monteiro; Oleh Shliazhko; Nicolas Gontier; Nicholas Meade; Armel Zebaze; Ming-Ho Yee; Logesh Kumar Umapathi; Jian Zhu; Benjamin Lipkin; Muhtasham Oblokulov; Zhiruo Wang; Rudra Murthy; Jason Stillerman; Siva Sankalp Patel; Dmitry Abulkhanov; Marco Zocca; Manan Dey; Zhihan Zhang; Nour Fahmy; Urvashi Bhattacharyya; Wenhao Yu; Swayam Singh; Sasha Luccioni; Paulo Villegas; Maxim Kunakov; Fedor Zhdanov; Manuel Romero; Tony Lee; Nadav Timor; Jennifer Ding; Claire Schlesinger; Hailey Schoelkopf; Jan Ebert; Tri Dao; Mayank Mishra; Alex Gu; Jennifer Robinson; Carolyn Jane Anderson; Brendan Dolan-Gavitt; Danish Contractor; Siva Reddy; Daniel Fried; Dzmitry Bahdanau; Yacine Jernite; Carlos Muñoz Ferrandis; Sean Hughes; Thomas Wolf; Arjun Guha; Leandro von Werra; Harm de Vries,Hailey Schoelkopf
"Dec 1, 2023",,2023 Open Source Generative AI Survey Report,"Lawson, Gerosa, Hendrick, White, Hyde, and Biderman",AI Governance & Societal Impacts,,Linux Foundation Research,,,https://www.linuxfoundation.org/research/2023-generative-ai-study,,Adrienn Lawson; Marco Gerosa; Stephen Hendrick; Matt White; Lucy Hyde; Stella Biderman,Stella Biderman
"Dec 6, 2023",,trlX: A Framework for Large Scale Reinforcement Learning from Human Feedback,"Havrilla, Zhuravinskyi, Phung, Tiwari, Tow, Biderman, Anthony, and Castricato","Training Models, Behavioral Safety",,EMNLP,,,https://aclanthology.org/2023.emnlp-main.530/,,Alexander Havrilla; Maksym Zhuravinskyi; Duy Phung; Aman Tiwari; Jonathan Tow; Stella Biderman; Quentin Anthony; Louis Castricato,Shivanshu Purohit; Stella Biderman; Quentin Gregory Anthony
"Dec 6, 2023",TRUE,RWKV: Reinventing RNNs for the Transformer Era,"Peng, Alcaide, Anthony, and 31 others",Training Models,,EMNLP (Findings),,,https://arxiv.org/abs/2305.13048,,Bo Peng; Eric Alcaide; Quentin Anthony; Alon Albalak; Samuel Arcadinho; Stella Biderman; Huanqi Cao; Xin Cheng; Michael Chung; Matteo Grella; Kranthi Kiran GV; Xuzheng He; Haowen Hou; Jiaju Lin; Przemyslaw Kazienko; Jan Kocon; Jiaming Kong; Bartlomiej Koptyra; Hayden Lau; Krishna Sri Ipsit Mantri; Ferdinand Mom; Atsushi Saito; Guangyu Song; Xiangru Tang; Bolun Wang; Johan S. Wind; Stanislaw Wozniak; Ruichong Zhang; Zhenyuan Zhang; Qihang Zhao; Peng Zhou; Qinghua Zhou; Jian Zhu; Rui-Jie Zhu,Bo Peng; Eric Alcaide; Quentin Anthony; Alon Albalak; Samuel Arcadinho; Stella Biderman; Kranthi Kiran GV; Xuzheng He; Hayden Lau; Atsushi Saito; Zhenyuan Zhang
"Dec 7, 2023",,Prompting Multilingual Large Language Models to Generate Code-Mixed Texts: The Case of South East Asian Languages,"Yong, Zhang, Forde, Wang, Subramonian, and 10 others","Data, Multilingual",,,EMNLP Workshop on Computational Approaches to Linguistic Code-Switching,,https://arxiv.org/abs/2303.13592,,Zheng-Xin Yong; Ruochen Zhang; Jessica Zosa Forde; Skyler Wang; Arjun Subramonian; Holy Lovenia; Samuel Cahyawijaya; Genta Indra Winata; Lintang Sutawika; Jan Christian Blaise Cruz; Yin Lin Tan; Long Phan; Rowena Garcia; Thamar Solorio; Alham Fikri Aji,Lintang Sutawika
"Dec 10, 2023",TRUE,Emergent and Predictable Memorization in Large Language Models,"Biderman, Prashanth, Sutawika, Schoelkopf, Anthony, Purohit, and Raff","Learning Dynamics, Behavioral Safety",,NeurIPS,,,https://arxiv.org/abs/2304.11158,,Stella Biderman; USVSN Sai Prashanth; Lintang Sutawika; Hailey Schoelkopf; Quentin Anthony; Shivanshu Purohit; Edward Raff,Stella Biderman; USVSN Sai Prashanth; Lintang Sutawika; Hailey Schoelkopf; Quentin Anthony; Shivanshu Purohit
"Dec 10, 2023",TRUE,LEACE: Perfect linear concept erasure in closed form,"Belrose, Schneider-Joseph, Ravfogel, Cotterell, Raff, and Biderman","Model Internals, Behavioral Safety",,NeurIPS,,,https://arxiv.org/abs/2306.03819,,Nora Belrose; David Schneider-Joseph; Shauli Ravfogel; Ryan Cotterell; Edward Raff; Stella Biderman,Nora Belrose; David Schneider-Joseph; Stella Biderman
"Dec 10, 2023",,Reconstructing the Mind's Eye: fMRI-to-Image with Contrastive Learning and Diffusion Priors,"Scotti, Banerjee, Goode, and 9 others","AI4Science, Multimodal",,NeurIPS,,Spotlight at NeurIPS,https://arxiv.org/abs/2305.18274,,Paul S. Scotti; Atmadeep Banerjee; Jimmie Goode; Stepan Shabalin; Alex Nguyen; Ethan Cohen; Aidan J. Dempster; Nathalie Verlinde; Elad Yundler; David Weisberg; Kenneth A. Norman; Tanishq Mathew Abraham,Tanishq Mathew Abraham
"Dec 10, 2023",,The Goldilocks of Pragmatic Understanding: Fine-Tuning Strategy Matters for Implicature Resolution by LLMs,"Ruis, Khan, Biderman, Hooker, Rocktäschel, and Grefenstette",Misc.,,NeurIPS,,,https://arxiv.org/abs/2210.14986,,Laura Ruis; Akbir Khan; Stella Biderman; Sara Hooker; Tim Rocktäschel; Edward Grefenstette,Stella Biderman
"Dec 10, 2023",,Neural MMO 2.0: A Massively Multi-task Addition to Massively Multi-Agent Learning,"Suárez, Isola, Choe, Bloomin, Li, and 13 others","Training Models, Evaluation",,NeurIPS Datasets and Benchmarks,,,https://arxiv.org/abs/2311.03736,,Joseph Suárez; Phillip Isola; Kyoung Whan Choe; David Bloomin; Hao Xiang Li; Nikhil Pinnaparaju; Nishaanth Kanna; Daniel Scott; Ryan Sullivan; Rose S. Shuman; Lucas de Alcântara; Herbie Bradley; Louis Castricato; Kirsty You; Yuhao Jiang; Qimai Li; Jiaxin Chen; Xiaolong Zhu,Herbie Bradley
"Dec 13, 2023",,BigBIO: A Framework for Data-Centric Biomedical Natural Language Processing,"Fries, Weber, Seelam, Altay, and 39 others","Data, AI4Science",,NeurIPS Datasets and Benchmarks,,,https://arxiv.org/abs/2206.15076,,Jason Alan Fries; Leon Weber; Natasha Seelam; Gabriel Altay; Debajyoti Datta; Samuele Garda; Myungsun Kang; Ruisi Su; Wojciech Kusa; Samuel Cahyawijaya; Fabio Barth; Simon Ott; Matthias Samwald; Stephen Bach; Stella Biderman; Mario Sänger; Bo Wang; Alison Callahan; Daniel León Periñán; Théo Gigant; Patrick Haller; Jenny Chim; Jose David Posada; John Michael Giorgi; Karthik Rangasai Sivaraman; Marc Pàmies; Marianna Nezhurina; Robert Martin; Michael Cullan; Moritz Freidank; Nathan Dahlberg; Shubhanshu Mishra; Shamik Bose; Nicholas Michio Broad; Yanis Labrak; Shlok S Deshmukh; Sid Kiblawi; Ayush Singh; Minh Chien Vu; Trishala Neeraj; Jonas Golde; Albert Villanova del Moral; Benjamin Beilharz,Stella Biderman
"Dec 15, 2023",,Detecting Backdoors with Meta-Models,"Langosco, Alex, Baker, Quarel, Bradley, and Krueger","Model Internals, Open-Weight Safety, Security",,,NeurIPS Workshop on Backdoors in Deep Learning,,https://openreview.net/forum?id=cmJiEqniEc,,Lauro Langosco; Neel Alex; William Baker; David Quarel; Herbie Bradley; David Krueger,Herbie Bradley
"Dec 16, 2023",,Eliciting Language Model Behaviors using Reverse Language Models,"Pfau, Infanger, Sheshadri, Panda, Michael, and Huebner","Evaluation, Behavioral Safety",,,SoLaR Workshop at NeurIPS 2023,"Spotlight at SoLaR Workshop, NeurIPS",https://neurips.cc/virtual/2023/workshop/66526#collapse78917,,Jacob Pfau; Alex Infanger; Abhay Sheshadri; Ayush Panda; Julian Michael; Curtis Huebner,Alex Infanger; Curtis Huebner
"Feb 1, 2024",,Comparative Study of Large Language Model Architectures on Frontier,"Yin, Bose, Cong, Lyngaas, and Anthony","Training Models, AI4Science",,,,,https://arxiv.org/abs/2402.00691,,Junqi Yin; Avishek Bose; Guojing Cong; Isaac Lyngaas; Quentin Anthony,Quentin Anthony
"Feb 12, 2024",,Suppressing Pink Elephants with Direct Principle Feedback,"Castricato, Lile, Anand, Schoelkopf, Verma, and Biderman","Behavioral Safety, Open-Weight Safety",,,,,https://arxiv.org/abs/2402.07896,,Louis Castricato; Nathan Lile; Suraj Anand; Hailey Schoelkopf; Siddharth Verma; Stella Biderman,Louis Castricato; Hailey Schoelkopf; Stella Biderman
"Feb 18, 2024",,The OpenELM Library: Leveraging Progress in Language Models for Novel Evolutionary Algorithms,"Bradley, Fan, Galanos, Zhou, Scott, and Lehman",Misc.,,Genetic Programming Theory & Practice,,,https://openreview.net/forum?id=C0SGtHjr4wK,,Herbie Bradley; Honglu Fan; Theodoros Galanos; Ryan Zhou; Daniel Scott; Joel Lehman,Herbie Bradley; Honglu Fan; Theodoros Galanos; Ryan Zhou; Daniel Scott
"Feb 26, 2024",,Investigating the Effectiveness of HyperTuning via Gisting,Phang,Training Models,,,,,https://arxiv.org/abs/2402.16817,,Jason Phang,Jason Phang
"Apr 27, 2024",,Musically Aware Automatic Piano Transcription Using Synthetic Pretraining,"Bradshaw, Colton, Spangher, and Biderman","Multimodal, Training Models, Data, Evaluation",,,,,https://www.alexander-spangher.com/papers/aria_amt.pdf,,Louis Bradshaw; Simon Colton; Alexander Spangher; Stella Biderman,Stella Biderman
"May 2, 2024",,Holographic Global Convolutional Networks for Long-Range Prediction Tasks in Malware Detection,"Alam, Raff, Biderman, Oates, and Holt","Training Models, Security",,AISTATS 2024,,,https://arxiv.org/abs/2403.17978,,Mohammad Mahmudul Alam; Edward Raff; Stella Biderman; Tim Oates; James Holt,Stella Biderman
"May 7, 2024",TRUE,LLeMA: An Open Language Model for Mathematics,"Azerbayev, Schoelkopf, Paster, Dos Santos, McAleer, Jiang, Deng, Biderman, and Welleck","Training Models, Data, AI4Science",,ICLR,NeurIPS Workshop on Math and AI,,https://arxiv.org/abs/2310.10631,,Zhangir Azerbayev; Hailey Schoelkopf; Keiran Paster; Marco Dos Santos; Stephen McAleer; Albert Q. Jiang; Jia Deng; Stella Biderman; Sean Welleck,Zhangir Azerbayev; Hailey Schoelkopf; Stella Biderman
"May 7, 2024",TRUE,OpenWebMath: An Open Dataset of High-Quality Mathematical Web Text,"Paster, Dos Santos, Azerbayev, and Ba","Data, AI4Science",,ICLR,MATH-AI Workshop at NeurIPS 2023,"Oral at MATH-AI Workshop, NeurIPS",https://arxiv.org/abs/2310.06786,,Keiran Paster; Marco Dos Santos; Zhangir Azerbayev; Jimmy Ba,
"May 7, 2024",,Quality-Diversity through AI Feedback,"Bradley, Dai, Teufel, Zhang, Oostermeijer, Bellagente, Clune, Stanley, Schott, and Lehman",Misc.,,ICLR,NeurIPS Workshop on Agent Learning in Open-Endedness,,https://arxiv.org/abs/2310.13032,,Herbie Bradley; Andrew Dai; Hannah Teufel; Jenny Zhang; Koen Oostermeijer; Marco Bellagente; Jeff Clune; Kenneth Stanley; Grégory Schott; Joel Lehman,Herbie Bradley
"May 7, 2024",TRUE,ReLoRA: High-Rank Training Through Low-Rank Updates,"Lialin, Shivagunde, Muckatira, and Rumshisky",Training Models,,ICLR,"NeurIPS Workshop on Advancing Neural Network Training: Computational Efficiency, Scalability, and Resource Optimization",,https://arxiv.org/abs/2307.05695,,Vladislav Lialin; Namrata Shivagunde; Sherin Muckatira; Anna Rumshisky,Vladislav Lialin
"May 7, 2024",TRUE,Sparse Autoencoders Find Highly Interpretable Features in Language Models,"Cunningham, Ewart, Riggs, Huben, and Sharkey",Model Internals,,ICLR,NeurIPS Workshop on Attributing Model Behavior at Scale ,,https://arxiv.org/abs/2309.08600,,Hoagy Cunningham; Aidan Ewart; Logan Riggs; Robert Huben; Lee Sharkey,Hoagy Cunningham; Aidan Ewart; Logan Riggs
"May 7, 2024",TRUE,YaRN: Efficient Context Window Extension of Large Language Models,"Peng, Quesnelle, Fan, and Shippole",Training Models,,ICLR,,,https://arxiv.org/abs/2309.00071,,Bowen Peng; Jeffrey Quesnelle; Honglu Fan; Enrico Shippole,Honglu Fan
"May 11, 2024",,Attributing Mode Collapse in the fine-tuning of Large Language Models,"O'Mahony, Grinsztajn, Schoelkopf, and Biderman",Learning Dynamics,,,ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,,https://openreview.net/forum?id=3pDMYjpOxk,,Laura O'Mahony; Leo Grinsztajn; Hailey Schoelkopf; Stella R. Biderman,Laura O'Mahony; Leo Grinsztajn; Hailey Schoelkopf; Stella R. Biderman
"May 14, 2024",TRUE,OpenFold: Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization,"Ahdritz, Bouatta, Kadyan, Xia, Gerecke, and 23 others","Training Models, AI4Science, Learning Dynamics",,Nature Methods,,,https://www.biorxiv.org/content/10.1101/2022.11.20.517210v3,,Gustaf Ahdritz; Nazim Bouatta; Christina Floristean; Sachin Kadyan; Qinghui Xia; William Gerecke; Timothy J O’Donnell; Daniel Berenberg; Ian Fisk; Niccolò Zanichelli; Bo Zhang; Arkadiusz Nowaczynski; Bei Wang; Marta M Stepniewska-Dziubinska; Shang Zhang; Adegoke Ojewole; Murat Efe Guney; Stella Biderman; Andrew M Watkins; Stephen Ra; Pablo Ribalta Lorenzo; Lucas Nivon; Brian Weitzner; Yih-En Andrew Ban; Peter K Sorger; Emad Mostaque; Zhao Zhang; Richard Bonneau; Mohammed AlQuraishi,Stella Biderman
"May 17, 2024",,Towards a Framework for Openness in Foundation Models: Proceedings from the Columbia Convening on Openness in Artificial Intelligence,"Basdevant, François, Storchan, Bankston, Bdeir, and 11 others",AI Governance & Societal Impacts,,,Columbia Convening on Openness in Artificial Intelligence,,https://arxiv.org/abs/2405.15802,,Adrien Basdevant; Camille François; Victor Storchan; Kevin Bankston; Ayah Bdeir; Brian Behlendorf; Merouane Debbah; Sayash Kapoor; Yann LeCun; Mark Surman; Helen King-Turvey; Nathan Lambert; Stefano Maffulli; Nik Marda; Govind Shivkumar; Justine Tunney,
"May 17, 2024",,Democratic Governance of AI Systems and Datasets,"Warso, Tarkowski, Avila, Gimpel, Skowron, Poli, Kusters, Pachouri, Raj, and Singh",AI Governance & Societal Impacts,,Think7 Policy Brief,,,https://openfuture.eu/wp-content/uploads/2024/05/240517Democratic_Governance_of_AI_Systems.pdf,,Zuzanna Warso; Alek Tarkowski; Renata Ávila; Lea Gimpel; Aviya Skowron; Eleonora Poli; Anselm Küsters; Anshul Pachouri; Abhishek Raj; Harsh Singh,Aviya Skowron
"May 20, 2024",,HAE-RAE Bench: Evaluation of Korean Knowledge in Language Models,"Son, Lee, Kim, Kim, Lee, Yeom, Jung, Kim, and Kim","Evaluation, Multilingual",,COLING,,,https://arxiv.org/abs/2309.02706,,Guijin Son; Hanwool Lee; Suwan Kim; Huiseo Kim; Jaecheol Lee; Je Won Yeom; Jihyu Jung; Jung Woo Kim; Songseong Kim,Guijin Son; Hanwool Lee; Suwan Kim; Huiseo Kim; Jaecheol Lee; Je Won Yeom; Jihyu Jung; Jung Woo Kim; Songseong Kim
"May 23, 2024",TRUE,Lessons from the Trenches on Reproducible Evaluation of Language Models,"Biderman, Schoelkopf, and Sutawika, and 27 others",Evaluation,,,,,https://arxiv.org/abs/2405.14782,,Stella Biderman; Hailey Schoelkopf; Lintang Sutawika; Leo Gao; Jonathan Tow; Baber Abbasi; Alham Fikri Aji; Pawan Sasanka Ammanamanchi; Sidney Black; Jordan Clive; Anthony DiPofi; Julen Etxaniz; Benjamin Fattori; Jessica Zosa Forde; Charles Foster; Jeffrey Hsu; Mimansa Jaiswal; Wilson Y. Lee; Haonan Li; Charles Lovering; Niklas Muennighoff; Ellie Pavlick; Jason Phang; Aviya Skowron; Samson Tan; Xiangru Tang; Kevin A. Wang; Genta Indra Winata; François Yvon; Andy Zou,Stella Biderman; Hailey Schoelkopf; Lintang Sutawika; Baber Abbasi; Leo Gao; Sidney Black; Anthony DiPofi; Benjamin Fattori; Jason Phang; Aviya Skowron
"Jun 7, 2024",,Simple and Scalable Strategies to Continually Pre-train Large Language Models,"Ibrahim, Thérien, Gupta, Richter, Anthony, Lesort, Belilovsky, and Rish","Training Models, Learning Dynamics",,TMLR,,,https://arxiv.org/abs/2403.08763,,Adam Ibrahim; Benjamin Thérien; Kshitij Gupta; Mats L. Richter; Quentin Anthony; Timothée Lesort; Eugene Belilovsky; Irina Rish,Adam Ibrahim; Benjamin Thérien; Kshitij Gupta; Mats L. Richter; Quentin Anthony; Timothée Lesort; Eugene Belilovsky; Irina Rish
"Jun 18, 2024",,Improving Black-box Robustness with In-Context Rewriting,"O'Brien, Ng, Puri, Mendez, Palangi, Kim, Ghassemi, and Hartvigsen",Misc.,,TMLR,,,https://arxiv.org/abs/2402.08225,,Kyle O'Brien; Nathan Ng; Isha Puri; Jorge Mendez; Hamid Palangi; Yoon Kim; Marzyeh Ghassemi; Thomas Hartvigsen,Kyle O'Brien
"Jul 16, 2024",,GoldFinch: High Performance RWKV/Transformer Hybrid with Linear Pre-Fill and Extreme KV-Cache Compression,"Goldstein, Obeid, Alcaide, Song, and Cheah",Training Models,,,,,https://arxiv.org/abs/2407.12077,,Daniel Goldstein; Fares Obeid; Eric Alcaide; Guangyu Song; Eugene Cheah,Daniel Goldstein; Fares Obeid; Eric Alcaide; Guangyu Song; Eugene Cheah
"Jul 21, 2024",,Scalable High-Resolution Pixel-Space Image Synthesis with Hourglass Diffusion Transformers,"Crowson, Baumann, Birch, Abraham, Kaplan, and Shippole","Training Models, Multimodal",,ICML,,,https://arxiv.org/abs/2401.11605,,Katherine Crowson; Stefan Andreas Baumann; Alex Birch; Tanishq Mathew Abraham; Daniel Z. Kaplan; Enrico Shippole,Katherine Crowson; Tanishq Mathew Abraham
"Jul 23, 2024",,Grokking Group Multiplication with Cosets,"Stander, Yu, Fan, and Biderman","Learning Dynamics, Model Internals",,ICML,,,https://arxiv.org/abs/2312.06581,,Dashiell Stander; Qinan Yu; Honglu Fan; Stella Biderman,Dashiell Stander; Qinan Yu; Honglu Fan; Stella Biderman
"Jul 23, 2024",,Neural Networks Learn Statistics of Increasing Complexity,"Belrose, Pope, Quirke, Mallen, and Fern",Learning Dynamics,,ICML,,,https://arxiv.org/abs/2402.04362,,Nora Belrose; Quintin Pope; Lucia Quirke; Alex Mallen; Xiaoli Fern,Nora Belrose; Lucia Quirke; Alex Mallen; Brennan Dury
"Jul 23, 2024",,Stay on topic with Classifier-Free Guidance,"Sanchez, Fan, Spangher, Levi, Ammanamanchi, and Biderman",Misc.,,ICML,,,https://arxiv.org/abs/2306.17806,,Guillaume Sanchez; Honglu Fan; Alexander Spangher; Elad Levi; Pawan Sasanka Ammanamanchi; Stella Biderman,Guillaume V. Sanchez; Honglu Fan; Pawan Sasanka Ammanamanchi; Stella Biderman
"Jul 23, 2024",,Social Choice Should Guide AI Alignment: On Dealing with Diverse Human Feedback,"Conitzer, Freedman, Heitzig, Holliday, Jacobs, and 7 others","Behavioral Safety, AI Governance & Societal Impacts",,ICML Position Paper Track,SSCW 2024,,https://arxiv.org/abs/2404.10271,,Vincent Conitzer; Rachel Freedman; Jobst Heitzig; Wesley H. Holliday; Bob M. Jacobs; Nathan Lambert; Milan Mossé; Eric Pacuit; Stuart Russell; Hailey Schoelkopf; Emanuel Tewolde; William S. Zwicker,Hailey Schoelkopf
"Jul 23, 2024",,A Safe Harbor for AI Evaluation and Red Teaming ,"Longpre, Kapoor, Klyman, Ramaswami, Bommasani, and 18 others","Evaluation, Behavioral Safety, AI Governance & Societal Impacts",,ICML Position Paper Track,,Oral at ICML,https://arxiv.org/abs/2403.04893,,Shayne Longpre; Sayash Kapoor; Kevin Klyman; Ashwin Ramaswami; Rishi Bommasani; Borhane Blili-Hamelin; Yangsibo Huang; Aviya Skowron; Zheng-Xin Yong; Suhas Kotha; Yi Zeng; Weiyan Shi; Xianjun Yang; Reid Southen; Alexander Robey; Patrick Chao; Diyi Yang; Ruoxi Jia; Daniel Kang; Sandy Pentland; Arvind Narayanan; Percy Liang; Peter Henderson,Aviya Skowron
"Jul 23, 2024",TRUE,On the Societal Impact of Open Foundation Models,"Kapoor, Bommasani, and 23 others","Open-Weight Safety, AI Governance & Societal Impacts",,ICML Position Paper Track,,Oral at ICML,https://arxiv.org/abs/2403.07918,,Sayash Kapoor; Rishi Bommasani; Kevin Klyman; Shayne Longpre; Ashwin Ramaswami; Peter Cihon; Aspen Hopkins; Kevin Bankston; Stella Biderman; Miranda Bogen; Rumman Chowdhury; Alex Engler; Peter Henderson; Yacine Jernite; Seth Lazar; Stefano Maffulli; Alondra Nelson; Joëlle Pineau; Aviya Skowron; Dawn Song; Victor Storchan; Dongke Zhang; Daniel E. Ho; Percy Liang; Arvind Narayanan,Stella Biderman; Aviya Skowron
"Jul 23, 2024",,Beyond Open vs. Closed: Emerging Consensus and Key Questions for Foundation AI Model Governance,"Bateman, Baer, Bell, Brown, and Cuellar, and 13 others","Open-Weight Safety, AI Governance & Societal Impacts",,Carnegie Endowment for International Peace,,,https://carnegieendowment.org/research/2024/07/beyond-open-vs-closed-emerging-consensus-and-key-questions-for-foundation-ai-model-governance,,Jon Bateman; Dan Baer; Stephanie Bell; Glenn Brown; Mariano-Florentino (Tino) Cuéllar; Deep Ganguli; Peter Henderson; Brodi Kotila; Larry Lessig; Nicklas Lundblad; Janet Napolitano; Deborah Raji; Elizabeth Seger; Matt Sheehan; Aviya Skowron; Irene Solaiman; Helen Toner; Polina Zvyagina,Aviya Skowron
"Jul 25, 2024",,Self-Directed Synthetic Dialogues and Revisions Technical Report,"Lambert, Schoelkopf, Gokaslan, Soldaini, Pyatkin, and Castricato",Data,,,,,https://arxiv.org/abs/2407.18421,,Nathan Lambert; Hailey Schoelkopf; Aaron Gokaslan; Luca Soldaini; Valentina Pyatkin; Louis Castricato,Hailey Schoelkopf
"Aug 1, 2024",,Multi-Task Inference: Can Large Language Models Follow Multiple Instructions at Once?,"Son, Baek, Nam, Jeong, and Kim",Evaluation,,ACL,ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,,https://arxiv.org/abs/2402.11597,,Guijin Son; Sangwon Baek; Sangdae Nam; Ilgyun Jeong; Seungone Kim,Guijin Son; Sangwon Baek; Sangdae Nam; Ilgyun Jeong
"Aug 1, 2024",,Cold Compress: A Toolkit for Benchmarking KV Cache Compression Approaches,"Adams, Ladhak, Schoelkopf, and Biswas",Misc.,,,,,https://github.com/AnswerDotAI/cold-compress,,Griffin Adams; Faisal Ladhak; Hailey Schoelkopf; Raja Biswas,Hailey Schoelkopf
"Aug 7, 2024",,Tree Attention: Topology-aware Decoding for Long-Context Attention on GPU Clusters,"Shyam, Pilault, Shepperd, Anthony, and Millidge",Misc.,,,,,https://arxiv.org/abs/2408.04093,,Vasudev Shyam; Jonathan Pilault; Emily Shepperd; Quentin Anthony; Beren Millidge,Emily Shepperd
"Aug 12, 2024",,The Case for Co-Designing Model Architectures with Hardware,"Anthony, Hatef, Narayanan, Biderman, Bekman, Yin, Shafi, Subramoni, and Panda",Training Models,,ICPP,,,https://arxiv.org/abs/2401.14489,,Quentin Anthony; Jacob Hatef; Deepak Narayanan; Stella Biderman; Stas Bekman; Junqi Yin; Aamir Shafi; Hari Subramoni; Dhabaleswar Panda,Quentin Anthony; Jacob Hatef; Stella Biderman
"Aug 30, 2024",,The Data Provenance Initiative: A Large Scale Audit of Dataset Licensing & Attribution in AI,"Longpre, Mahari, Chen, Obeng-Marnu, and Sileo, and 12 others","Data, AI Governance & Societal Impacts",,Nature Machine Intelligence,GenLaw Workshop at ICML 2023,"Spotlight at GenLaw Workshop, ICML",https://arxiv.org/abs/2310.16787,,Shayne Longpre; Robert Mahari; Anthony Chen; Naana Obeng-Marnu; Damien Sileo; William Brannon; Niklas Muennighoff; Nathan Khazam; Jad Kabbara; Kartik Perisetla; Xinyi Wu; Enrico Shippole; Kurt Bollacker; Tongshuang Wu; Luis Villa; Sandy Pentland; Sara Hooker,
"Oct 7, 2024",,Eagle and Finch: RWKV with Matrix-Valued States and Dynamic Recurrence,"Peng, Goldstein, Anthony, Albalak, Alcaide, and 23 others",Training Models,,COLM,,,https://arxiv.org/abs/2404.05892,,Bo Peng; Daniel Goldstein; Quentin Anthony; Alon Albalak; Eric Alcaide; Stella Biderman; Eugene Cheah; Xingjian Du; Teddy Ferdinan; Haowen Hou; Przemysław Kazienko; Kranthi Kiran GV; Jan Kocoń; Bartłomiej Koptyra; Satyapriya Krishna; Ronald McClelland Jr.; Jiaju Lin; Niklas Muennighoff; Fares Obeid; Atsushi Saito; Guangyu Song; Haoqin Tu; Cahya Wirawan; Stanisław Woźniak; Ruichong Zhang; Bingchen Zhao; Qihang Zhao; Peng Zhou; Jian Zhu; Rui-Jie Zhu,Bo Peng; Daniel Goldstein; Quentin Anthony; Alon Albalak; Eric Alcaide; Stella Biderman; Eugene Cheah; Kranthi Kiran GV; Ronald McClelland Jr.; Fares Obeid; Atsushi Saito; Guangyu Song
